19.7.2015 Teemu Roivainen & Energia feat. Saara Aalto – Tirvan lava, Kouvola
23.7.2015 Tommi Soidinmäki & Energia – Linnanmäki, Helsinki
25.7.2015 Tommi Soidinmäki & Energia – Lohirannan lomakylä, Sukeva
28.7.2015 Isto Hiltunen & Energia – Lounaispuisto, Jyväskylä
1.8.2015 Energia – ”Valssin aika”-tapahtuma / Viitasaari Areena, Viitasaari
1.8.2015 Tommi Soidinmäki & Energia – Viitasaari Areena, Viitasaari
7.8.2015 Teemu Roivainen & Energia – Ruokolahden lava, Siikajoki
8.8.2015 Teemu Roivainen & Energia – Hiihtomäen lava, Mikkeli
12.8.2015 Tommi Soidinmäki & Energia – Kuikan lava, Jyväskylä
15.8.2015 Tommi Soidinmäki & Energia – Rönnin lava, Orivesi
29.8.2015 Tommi Soidinmäki & Energia – Tanhuhovi, Lohja
30.8.2015 Tommi Soidinmäki & Energia – Ainolan lava, Jyväskylä
1.9.2015 Teemu Roivainen & Energia – M/S Finlandia, Helsinki
2.9.2015 Teemu Roivainen & Energia – M/S Finlandia, Helsinki
4.9.2015 Tommi Soidinmäki & Energia – Rokuan kuntokeskus, Rokua
6.9.2015 Teemu Roivainen & Energia – Baltic Princess, Turku
7.9.2015 Teemu Roivainen & Energia – Baltic Princess, Turku
8.9.2015 Teemu Roivainen & Energia – Baltic Princess, Turku
9.9.2015 Teemu Roivainen & Energia – Baltic Princess, Turku
11.9.2015 Teemu Roivainen & Energia – Ravintola Raitti, Taivassalo
12.9.2015 Isto Hiltunen & Energia – Finlandia Marathon, Jyväskylä
12.9.2015 Tommi Soidinmäki & Energia – Syvälahden lava, Kangasniemi
15.9.2015 Tommi Soidinmäki & Energia – Hiitteenharju, Harjavalta
19.9.2015 Teemu Roivainen & Energia – Hotelli Iso-Valkeinen, Kuopio
26.9.2015 Tommi Soidinmäki & Energia – Tulenliekki, Leppävirta
2.10.2015 Sanna-Mari Titov & Energia – Yritystilaisuus, Helsinki
3.10.2015 Tommi Soidinmäki & Energia – Hotelli Keurusselkä, Keuruu
10.10.2015 Aki Samuli & Energia – Pesäkallio, Lahti
16.10.2015 Sanna-Mari Titov & Energia – Rauhalahti, Kuopio
17.10.2015 Tommi Soidinmäki & Energia – Paalupaikka, Pieksämäki
23.10.2015 Tommi Soidinmäki & Energia – Häijään Tanssikrouvi, Mouhijärvi
24.10.2015 Tommi Soidinmäki & Energia – Urjanlinna, Sievi
25.10.2015 Tommi Soidinmäki & Energia – Baltic Princess, Turku
26.10.2015 Tommi Soidinmäki & Energia – Baltic Princess, Turku
6.11.2015 Tommi Soidinmäki & Energia – Hotelli Summassaari, Saarijärvi
9.11.2015 Tommi Soidinmäki & Energia – Viking Grace, Turku
10.11.2015 Tommi Soidinmäki & Energia – Viking Grace, Turku
13.11.2015 Tommi Soidinmäki & Energia – Jyväshovi, Jyväskylä
14.11.2015 Teemu Roivainen & Energia – Ruusulinna, Nurmijärvi
20.11.2015 Sanna-Mari Titov & Energia – Sinisoihtu, Rauma
21.11.2015 Tommi Soidinmäki & Energia – Kartano Kievari, Äänekoski
27.11.2015 Tommi Soidinmäki & Energia – Korpilampi, Espoo
28.11.2015 Teemu Roivainen & Energia – Lomakeskus Huhmari, Polvijärvi
29.11.2015 Tommi Soidinmäki & Energia – Karstulan kirkko, Karstula
4.12.2015 Tommi Soidinmäki & Energia – Imatran kylpylä, Imatra
5.12.2015 Tommi Soidinmäki & Energia – Keskustalo, Kotka
6.12.2015 Teemu Roivainen & Energia – Vuoksenniskan työväentalo, Imatra
8.12.2015 Tommi Soidinmäki & Energia – Baltic Queen, Turku
11.12.2015 Tommi Soidinmäki & Energia – Sokos Hotel Kimmel, Joensuu
12.12.2015 Sanna-Mari Titov & Energia – Yksityistilaisuus, Orivesi
18.12.2015 Tommi Soidinmäki & Energia – Karkkilan kirkko, Karkkila
20.12.2015 Tommi Soidinmäki & Energia – Saarijärven kirkko, Saarijärvi
8.1.2016 Susanna Heikki & Energia – Hotelli Kimmel, Joensuu
9.1.2016 Susanna Heikki & Energia – Tanhuhovi, Lohja
15.1.2016 Tommi Soidinmäki & Energia – Mulligan’s, Kouvola
16.1.2016 Tommi Soidinmäki & Energia – Yritystilaisuus, Jyväskylä
22.1.2016 Susanna Heikki & Energia – Nightclub Tähti, Oulu
23.1.2016 Susanna Heikki & Energia – Seurojen talo, Tyrnävä
27.1.2016 Mikael Konttinen & Energia – Ikaalisten kylpylä, Ikaalinen
28.1.2015 Sanna-Mari Titov & Energia – Yritystilaisuus, Tampere
29.1.2016 Susanna Heikki & Energia – Häijään Tanssikrouvi, Mouhijärvi
30.1.2016 Tommi Soidinmäki & Energia – Hotelli Keurusselkä, Keuruu
3.2.2016 Teemu Roivainen & Energia – Rauhalahti, Kuopio
5.2.2016 Sanna-Mari Titov & Energia – Yritystilaisuus, Tampere
6.2.2016 Sanna-Mari Titov & Energia – Auran Nuortentalo, Aura
13.2.2016 Teemu Roivainen & Energia – Limingan NS, Liminka
19.2.2016 Susanna Heikki & Energia – Nightclub Tähti, Oulu
20.2.2016 Susanna Heikki & Energia – Saarenkylä, Rovaniemi
27.2.2016 Tommi Soidinmäki & Energia – Limingan NS, Liminka
5.3.2016 Teemu Roivainen & Energia – Kimmel, Joensuu
19.3.2016 Teemu Roivainen & Energia – Paalupaikka, Pieksämäki
26.3.2016 Teemu Roivainen & Energia – Ruusulinna, Nurmijärvi
27.3.2016 Teemu Roivainen & Energia – Hotelli Keurusselkä, Keuruu
1.4.2016 Teemu Roivainen & Energia – Ruunuhelmi, Oulujärvi
2.4.2016 Tommi Soidinmäki & Energia – Keurusselkä, Keuruu
16.4.2016 Teemu Roivainen & Energia – Kuntotalo, Kouvola
23.4.2016 Energia – Paviljonki, Jyväskylä
28.4.2016 Tommi Soidinmäki & Energia – Hotelli Peurunka, Laukaa
4.5.2016 Tommi Soidinmäki & Energia – Kalliojärven viihdekeskus, Isokyrö
6.5.2016 Tommi Soidinmäki & Energia – Ravintola Anna & Albert, Oulu
7.5.2016 Tommi Soidinmäki & Energia – Simon Metsäpirtti, Simo
15.5.2016 Tommi Soidinmäki & Energia – Viking Grace, Turku
16.5.2016 Teemu Roivainen & Energia – Viking Grace, Turku
17.5.2016 Teemu Roivainen & Energia – Viking Grace, Turku
17.5.2016 Teemu Roivainen & Energia – Viking Grace, Turku
20.5.2016 Isto Hiltunen & Energia – Yritystilaisuus, Jyväskylä
21.5.2016 Teemu Roivainen & Energia – Ämyri, Somerniemi
24.5.2016 Teemu Roivainen & Energia – Baltic Queen, Helsinki
28.5.2016 Tommi Soidinmäki & Energia – Witsiälän tanssilava, Hämeenlinna
1.6.2016 Niko Saloheimo & Energia feat. Special Guests – Siltasali, Jyväskylä
4.6.2016 Tommi Soidinmäki & Energia – Yksityistilaisuus, Muurame
5.6.2016 Tommi Soidinmäki & Energia – Ainolan lava, Jyväskylä
10.6.2016 Tommi Soidinmäki & Energia – Keurusselkä, Keuruu
11.6.2016 Tommi Soidinmäki & Energia – Syvälahden lava, Kangasniemi
12.6.2016 Tommi Soidinmäki & Energia  – Silja Europa, Helsinki
13.6.2016 Tommi Soidinmäki & Energia – Silja Europa, Helsinki
18.6.2016 Tommi Soidinmäki & Energia – Liimamäen lava, Karkkila
23.6.2016 Isto Hiltunen & Energia – Merikievari, Merikarvia
